id,kostat_category_5_code,kostat_category_5_name,pdeck_category_2_code,pdeck_category_2_name
2352,94913,천주교 단체,9906,재단/단체/협회
2353,94914,민족 종교 단체,9906,재단/단체/협회
2354,94919,기타 종교 단체,9906,재단/단체/협회
2355,94920,정치 단체,9906,재단/단체/협회
2356,94931,환경운동 단체,9906,재단/단체/협회
2357,94939,기타 시민운동 단체,9906,재단/단체/협회
2358,94990,그 외 기타 협회 및 단체,9906,재단/단체/협회
2359,95110,컴퓨터 및 주변 기기 수리업,0199,기타
2360,95120,통신장비 수리업,0107,모바일 및 통신
2361,95211,자동차 종합 수리업,0499,기타
2362,95212,자동차 전문 수리업,0499,기타
2363,95213,자동차 세차업,0499,기타
2364,95220,모터사이클 수리업,0499,기타
2365,95310,가전제품 수리업,0302,전자기기 및 구성요소
2366,95391,의복 및 기타 가정용 직물제품 수리업,0703,소비재
2367,95392,가죽가방 및 신발 수리업,0703,소비재
2368,95393,시계귀금속 및 악기 수리업,0703,소비재
2369,95399,그 외 기타 개인 및 가정용품 수리업,0703,소비재
2370,96111,이용업,0705,미용 및 개인관리
2371,96112,두발 미용업,0705,미용 및 개인관리
2372,96113,피부 미용업,0705,미용 및 개인관리
2373,96119,기타 미용업,0705,미용 및 개인관리
2374,96121,욕탕업,0705,미용 및 개인관리
2375,96122,마사지업,0705,미용 및 개인관리
2376,96129,체형 등 기타 신체 관리 서비스업,0705,미용 및 개인관리
2377,96911,산업용 세탁업,0799,기타
2378,96912,가정용 세탁업,0799,기타
2379,96913,세탁물 공급업,0799,기타
2380,96921,장례식장 및 장의관련 서비스업,0799,기타
2381,96922,"화장터 운영, 묘지 분양 및 관리업",0799,기타
2382,96991,예식장업,0799,기타
2383,96992,점술 및 유사 서비스업,0799,기타
2384,96993,개인 간병 및 유사 서비스업,0906,시니어 케어/요양/재활
2385,96994,결혼 상담 및 준비 서비스업,0799,기타
2386,96995,애완 동물 장묘 및 보호 서비스업,0799,기타
2387,96999,그 외 기타 달리 분류되지 않은 개인 서비스업,0799,기타
2388,97000,가구 내 고용활동,0799,기타
2389,98100,자가 소비를 위한 가사 생산 활동,0799,기타
2390,98200,자가 소비를 위한 가사 서비스 활동,0799,기타
2391,99001,주한 외국 공관,9905,법률/법무/행정
2392,99009,기타 국제 및 외국기관,9905,법률/법무/행정
2393,02040,임업 관련 서비스업,0603,농업/애그테크
2394,15210,구두류 제조업,0703,소비재
